R,53.2878,-6.12712,E934,09 Oct 2020,E934\n16:55 - Bray to Howth (2 mins late)\nArrived Sandycove next stop Dun Laoghaire,Northbound
R,53.2951,-6.13498,E243,09 Oct 2020,E243\n16:20 - Howth to Bray (0 mins late)\nArrived Dun Laoghaire next stop Sandycove,Southbound
R,53.2954,-6.15206,D819,09 Oct 2020,D819\n16:50 - Bray to Drogheda (2 mins late)\nArrived Salthill and Monkstown next stop Blackrock,Northbound
R,53.3027,-6.17833,E833,09 Oct 2020,E833\n16:34 - Greystones to Malahide (2 mins late)\nDeparted Blackrock next stop Booterstown,Northbound
R,53.3099,-6.19498,E122,09 Oct 2020,E122\n16:30 - Malahide to Greystones (0 mins late)\nArrived Booterstown next stop Blackrock,Southbound
R,53.3223,-6.52356,P215,09 Oct 2020,P215\n16:25 - Portlaoise to Dublin Heuston (7 mins late)\nArrived Hazelhatch next stop Adamstown,To Dublin Heuston
R,53.3334,-6.40628,A312,09 Oct 2020,A312\n17:05 - Dublin Heuston to Tralee (2 mins late)\nDeparted Clondalkin next stop Ballybrophy,To Tralee
R,53.334,-6.37868,A513,09 Oct 2020,A513\n14:50 - Waterford to Dublin Heuston (3 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston,To Dublin Heuston
R,53.334,-6.37868,P414,09 Oct 2020,P414\n16:58 - Hazelhatch to Grand Canal Dock (1 mins late)\nDeparted Park West and Cherry Orchard next stop Drumcondra,Northbound
R,53.3353,-6.45233,A222,09 Oct 2020,A222\n17:00 - Dublin Heuston to Cork (3 mins late)\nDeparted Adamstown next stop Limerick Junction,To Cork
R,53.3397,-6.23773,E933,09 Oct 2020,E933\n16:35 - Bray to Howth (0 mins late)\nArrived Grand Canal Dock next stop Dublin Pearse,Northbound
R,53.3433,-6.24829,E244,09 Oct 2020,E244\n16:40 - Howth to Bray (2 mins late)\nArrived Dublin Pearse next stop Grand Canal Dock,Southbound
R,53.347,-6.25425,D818,09 Oct 2020,D818\n17:13 - Dublin Pearse to Newry (0 mins late)\nArrived Tara Street next stop Dublin Connolly,To Newry
R,53.3531,-6.24591,A912,09 Oct 2020,A912\n17:10 - Dublin Connolly to Sligo (0 mins late)\nDeparted Dublin Connolly next stop Maynooth,Northbound
R,53.3531,-6.24591,E832,09 Oct 2020,E832\n16:25 - Bray to Malahide (0 mins late)\nArrived Dublin Connolly next stop Clontarf Road,Northbound
R,53.3629,-6.22753,E245,09 Oct 2020,E245\n16:50 - Malahide to Bray (2 mins late)\nDeparted Clontarf Road next stop Dublin Connolly,Southbound
